run,seed,hybrid_val_macro_f1,hybrid_test_macro_f1,static_only_val_macro_f1,static_only_test_macro_f1
1,42,0.041661338554687545,0.04241278650452216,0.04853161740471196,0.045375841441008334
2,43,0.07119548121878266,0.057580507800333317,0.0517647055026675,0.04594219274597398
3,44,0.0392228231120451,0.03910069609595458,0.03596957578798656,0.03512648489146268
4,45,0.038988762886063004,0.03760274009415626,0.03495112058522515,0.034603875605198266
5,46,0.05120700127514679,0.046942729317935195,0.04397976018213328,0.028424721280893284
6,47,0.06956387544457587,0.06311641142772959,0.04389657448157527,0.04238474218314147
7,48,0.05029400424137266,0.03934042277518957,0.04755910765181216,0.04154575284041051
8,49,0.047577847055981885,0.0436968794672914,0.044226635224798465,0.04203394647323927
9,50,0.04121759828647655,0.034808072612855005,0.03317874537257986,0.018515340817627204
10,51,0.06812101938576744,0.05608138899112889,0.04819074580545698,0.03366678444901578
